Date,TSLA,Nasdaq,RIVN,GOOGL,AMZN,GM,F,GOOG,LCID,META,AAPL,NVDA
2023-10-20,211.99000549316406,12983.8095703125,16.719999313354492,135.11021423339844,125.16999816894531,29.2713565826416,10.711583137512207,136.2504425048828,4.28000020980835,307.4754638671875,171.81082153320312,41.37163162231445
2023-10-23,212.0800018310547,13018.330078125,17.06999969482422,136.0069580078125,126.55999755859375,28.837120056152344,10.564343452453613,137.4062957763672,4.340000152587891,312.8150939941406,171.9300994873047,42.959041595458984
2023-10-24,216.52000427246094,13139.8701171875,17.43000030517578,138.30862426757812,128.55999755859375,28.185768127441406,10.481523513793945,139.6183319091797,4.239999771118164,311.360595703125,172.3673858642578,43.646785736083984
2023-10-25,212.4199981689453,12821.2197265625,17.020000457763672,125.15630340576172,121.38999938964844,28.629873275756836,10.619559288024902,126.21649169921875,4.170000076293945,298.3901672363281,170.04185485839844,41.763484954833984
2023-10-26,205.75999450683594,12595.6103515625,16.170000076293945,121.83833312988281,119.56999969482422,28.175899505615234,10.44471263885498,122.99805450439453,4.070000171661377,287.252685546875,165.85787963867188,40.31102752685547
2023-10-27,207.3000030517578,12643.009765625,16.010000228881836,121.72872161865234,127.73999786376953,26.86332893371582,9.165580749511719,122.95819854736328,4.039999961853027,295.600830078125,167.17965698242188,40.484962463378906
2023-10-30,197.36000061035156,12789.48046875,15.720000267028809,124.01045227050781,132.7100067138672,27.001493453979492,8.990736961364746,125.2997817993164,4.070000171661377,301.50823974609375,169.23683166503906,41.14571762084961
2023-10-31,200.83999633789062,12851.240234375,16.219999313354492,123.63182830810547,133.08999633789062,27.830486297607422,9.112232208251953,124.85140228271484,4.119999885559082,300.1235656738281,169.71388244628906,40.76485824584961
2023-11-01,205.66000366210938,13061.4697265625,16.1299991607666,125.9932632446289,137.0,27.633106231689453,9.261765480041504,127.11326599121094,4.050000190734863,310.6632995605469,172.89410400390625,42.309288024902344
2023-11-02,218.50999450683594,13294.1904296875,17.59000015258789,127.02951049804688,138.07000732421875,28.422622680664062,9.47672176361084,128.11965942382812,4.539999961853027,309.68701171875,176.47183227539062,43.48984146118164
2023-11-03,219.9600067138672,13478.2802734375,17.709999084472656,128.63369750976562,138.60000610351562,29.379915237426758,9.86924934387207,129.9032440185547,4.619999885559082,313.40283203125,175.55752563476562,44.98828887939453
2023-11-06,219.27000427246094,13518.7802734375,17.18000030517578,129.779541015625,139.74000549316406,28.72856330871582,9.635601997375488,130.97938537597656,4.320000171661377,314.5982666015625,178.12156677246094,45.734012603759766
2023-11-07,222.17999267578125,13639.8603515625,17.420000076293945,130.4969482421875,142.7100067138672,28.037734985351562,9.504759788513184,131.92596435546875,4.300000190734863,317.6067810058594,180.695556640625,45.93793869018555
2023-11-08,222.11000061035156,13650.41015625,17.0,131.36378479003906,142.0800018310547,27.198869705200195,9.392608642578125,132.78289794921875,3.950000047683716,318.5631408691406,181.75892639160156,46.556705474853516
2023-11-09,209.97999572753906,13521.4501953125,15.329999923706055,129.7695770263672,140.60000610351562,26.30079460144043,9.065502166748047,131.21852111816406,3.755000114440918,319.3301696777344,181.28189086914062,46.93256378173828
2023-11-10,214.64999389648438,13798.1103515625,15.399999618530273,132.111083984375,143.55999755859375,26.49817657470703,9.215036392211914,133.5800323486328,3.799999952316284,327.5188903808594,185.49127197265625,48.317047119140625
2023-11-13,223.7100067138672,13767.740234375,16.190000534057617,131.61288452148438,142.58999633789062,26.547521591186523,9.177653312683105,133.16152954101562,3.9700000286102295,327.9372863769531,183.89906311035156,48.60194396972656
2023-11-14,237.41000366210938,14094.3798828125,16.899999618530273,133.13735961914062,145.8000030517578,27.830486297607422,9.719714164733887,134.94512939453125,4.170000076293945,335.0301818847656,186.52621459960938,49.6375617980957
2023-11-15,242.83999633789062,14103.83984375,17.239999771118164,134.13375854492188,143.1999969482422,27.771272659301758,9.785136222839355,135.8917236328125,4.21999979019165,331.44390869140625,187.0934295654297,48.869842529296875
2023-11-16,233.58999633789062,14113.669921875,16.389999389648438,136.43540954589844,142.8300018310547,27.11992073059082,9.495413780212402,138.20343017578125,4.28000020980835,332.91827392578125,188.78515625,49.46162796020508
2023-11-17,234.3000030517578,14125.48046875,16.700000762939453,134.82125854492188,145.17999267578125,27.66271209716797,9.59821891784668,136.44972229003906,4.25,333.7650451660156,188.76522827148438,49.27969741821289
